,0,1,2,3,4,5,6
15,s-v_n54RtRFI5Xy_TqOiJGwIoVLlkzvpnE7W0GzYvG8pz298,CH9ck0VVPrmUftJ5QRGQD8cznhcCrf0Dirp1jjwufHwNIsef-6mSEW_o,qrWi6B3y8FaehTLc_VBLIkQKtOhappu-D29hZGQrbBFFzPvOpSCMOHeG6LxdJJ0OZ14TyJGf5o216Q,ChemicalBadger39,4693.0,1611377260000.0,105.0
16,zPTo5wWcFUHptHwxKGEnktLr87Dyx8E_W-CD52Dz9SO1VAb6,ORLMFuuEh4YggAVwv82Jne3hp3UyJ1zivObEI6XI_TyjkYk1BkgwXai3,zUzGu1yxRM606gQ_8rOvB0BbmtfDdRvCVWj0qIJotsQ9spO2bhLbj1WS8OavjKqI7CQJmpYCXrMktw,UrMomLikePP,4832.0,1611385574000.0,136.0
17,t-35zvko2vohDDwUgbci7Q0kWIkjUptJFm2DO3poudeDKKxj,jrUf-_S12qPiFNrA7uePezVpl-Q0Fho1y0ZPcMAyROQVREHQcg0t_sXV,Fq-8oYUYV4Ft1IQq6PzAS3N4pZayVr1oL940CTWaYevMWSMx9KT599hpEUV3eYmIk7wdn_6PiFaTBw,ChimeranZombie,4742.0,1607293267000.0,138.0
18,vgLkHXPcicOmdJC2dNPp1RA-61ju5klhkMjjjAJNP3lLGQqy,YvXppif3GsngiFvLYI1D_-E0c2O80G4SarOlmCvhpOX6CVuizDGr9OIk,A4Z3xbRS0ifwqm_anIQgzG9E-SQrn9sh_mKYJ93Ha_BgKHd_stioTTzndC7-udJ8C6C1GpwkADcMmA,Crookmass,4630.0,1611378144000.0,70.0
19,Hcv_Kcw-m50pHpjDVWYWTjXrYOn2BW_Kh8SGIX2HT0AUM1qn,XcGP5z2VwUda-_CFEY8AOMrkN8pIgDaEkqNYd2m4fOX_EDUFIJ3qyoYd,c_46JUXyCT5LpRFehITgseExvhjXeS9eHOfUzzMZhgcU_gktxzGsAA5BClyIgjBOwsvHSxlY-rJFIQ,QueenOfTheDrunks,4834.0,1610436034000.0,93.0
20,FEQrGYjHEOuX6TQgcDP7Bb7LkRIOXiCtkFFvu3Gz1elU3KcY,3MIHp5WCWH-_wEBOz8kamniozu2yrgiuEDwLI60QabYIf5uMGki6fhVk,TCtzJ6Z0Ewqvk8Lv9LHOypEW427n74UiUMhRbFoMQgcUU3fvFpd1A-ShCg2AsZj7m_TwitiQYOh9xQ,CDC,77.0,1611190684000.0,106.0
21,FE_8iPnr4ttNVFSC1XWPFMs28FWxwwIRMjgL2lIwwHGjzkmP,FnVMJpPw1V6MG32tXfj6GefhGpVfP4Z2vjsWLqLckZAixJehrBlQ3n5J,OD9Fke4a2U_v-Z7csYn1jZQQXOpjwTCnBDo2oGB8U-w0CX6dA3M2QVPGvgIoe-PfmzCtuU_sdUIF0Q,juzzou45,4833.0,1611375839000.0,211.0
22,T-KkLL111_1dBRPrqKAbKrW_Uq-n_zmnytO0Fl0krESUCJLt,t67uzoHXaOIAFFG2J4Oc8zXD2lZ1UuhZsXgb2USW5Vg74Us,QncLJCDcZoJVHkASe4TH3KOW0XmWmqa7ACaZGqS1HObrO2PnW5NxcNGyAlbGmNl8kVWjUa6YPC26fw,RamboMcGriddle,1.0,1609727374000.0,114.0
23,Nsp5AXzk7CaKmUfJUqrilLgxfloLPPbG1t5tRrbPuOyb99JY,1r57itOpWHfNceIA154TIoZH0CG99Rnmlm6JferEjxmy27ZsiayHG4Te,k5bX7XhZzfzVWYVIw4hJ2N0fCNYfWSuWycn2Fk--h55N5pZzmb8CNOAJ9OZ1_cK_8Ap-CbOAsJjYzg,Marijuulana,4857.0,1611180276000.0,147.0
24,hVgFBwsMz-sQ6dFC5PDZBpoWwfrBejtVNIHtS62QA_OSWw-Q,wRy-JrNYWUrIoePAAptNv6vVZIrLySxhBocNCTAmwKh6uw,JOOutvHkisUbQorMg5hC81GwVOZclaSc-u_C8jTJrKPZ7SkJfKH4T1CsA0N-JZFdvNvokNt5Ey93Qw,SP4RT1KAS,4763.0,1607544945000.0,79.0
